"","Tipo","Literal","CCAA","Provincia","Municipio","Encuestadora.Medio","Fuente","Muestra","Trabajo.Campo","Último.día","Particip","Lead","Ganador","Ventaja","BNG","CC.NCa","CpM","Cs","CUP","EC","ECP","EH.Bildu","ERC.Sobiranistes","EV","Junts","JxCat","Más.País","Més.Compromís","NA.","PACMA","PDeCAT","PNV","PP","PRC","PSC","PSdeG.PSOE","PSOE","Somos.Región","TE","Unidas.Podemos","Vox"
"48","Generales","España","Esp.","-","-","Metroscopia","https://www.vozpopuli.com/espana/feijoo-pp-psoe-encuesta.html","1200","28–30 Mar 2022","2022-03-30","-","Tie","PP","PP +Tie",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,11,19
"49","Generales","España","Esp.","-","-","Sigma Dos/Antena 3","https://www.antena3.com/noticias/espana/psoe-ganaria-elecciones-generales-mejoraria-resultados-llegada-alberto-nunez-feijoo-segun-encuesta-sigma-dos_202203296242d0c29ff11d0001b275dd.html","-","29 Mar 2022","2022-03-29","-","2.3","PSOE","PSOE +2.3",NA,NA,NA,3.6,NA,NA,NA,NA,3.3,NA,NA,2.2,3.4,NA,NA,NA,NA,1.8,24.4,NA,NA,NA,26.7,NA,NA,10.3,18.4
"50","Generales","España","Esp.","-","-","40dB/Prisa","https://elpais.com/espana/2022-04-04/los-socialistas-retroceden-y-el-pp-toma-impulso-tras-la-llegada-de-feijoo.html","2000","22–28 Mar 2022","2022-03-28","-","2.4","PSOE","PSOE +2.4",NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,23.1,NA,NA,NA,25.5,NA,NA,12.1,19
"51","Generales","Galicia","Gal.","-","-","GESOP/CEO","http://upceo.ceo.gencat.cat/wsceop/8308/Dossier%20de%20premsa_1019.pdf","2000","1–28 Mar 2022","2022-03-28","-","2.0–3.0","PSC","PSC +2.0–3.0",NA,NA,NA,1,6,NA,11,NA,20,NA,10,NA,NA,NA,NA,NA,NA,NA,6,NA,22,NA,NA,NA,NA,NA,6
"52","Generales","España","Esp.","-","-","ElectoPanel/Electomanía","https://electomania.es/ep27m22","1499","18–25 Mar 2022","2022-03-25","-","0.9","PSOE","PSOE +0.9",0.9,0.6,NA,3,1,NA,NA,1.4,3.2,0.4,NA,2.4,2.7,NA,0.4,NA,NA,1.6,18.3,0.2,NA,NA,25.4,NA,NA,12.6,24.5
"53","Generales","España","Esp.","-","-","IMOP/El Confidencial","https://www.elconfidencial.com/espana/observatorio-electoral/2022-03-30/sanchez-acusa-desgaste-crisis-pp-vox-mayoria-absoluta_3399625/","1321","14–25 Mar 2022","2022-03-25","-","1.9","PSOE","PSOE +1.9",1.2,0.3,NA,2,1.1,NA,NA,0.9,3.4,0.1,NA,1.6,2.1,NA,0.3,NA,NA,1.7,23.6,0.2,NA,NA,25.5,NA,NA,10.1,22
"54","Generales","España","Esp.","-","-","Metroscopia","https://www.vozpopuli.com/espana/feijoo-pp-psoe-encuesta.html","1200","21–23 Mar 2022","2022-03-23","-","4.0","PSOE","PSOE +4.0",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,28,NA,NA,11,21
"55","Generales","España","Esp.","-","-","DYM/Henneo","https://www.20minutos.es/noticia/4974507/0/encuesta-dym-intencion-estimada-voto-pp-recupera-psoe-sube/","1019","16–19 Mar 2022","2022-03-19","-","4.5","PSOE","PSOE +4.5",NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,24.2,NA,NA,NA,28.7,NA,NA,11.9,17.2
"56","Generales","España","Esp.","-","-","ElectoPanel/Electomanía","https://electomania.es/ep20m22","2203","11–18 Mar 2022","2022-03-18","-","3.1","PSOE","PSOE +3.1",0.9,0.6,NA,3,1,NA,NA,1.4,3.3,0.3,NA,2.4,2.6,NA,0.5,NA,NA,1.5,17.7,0.2,NA,NA,27,NA,NA,12.4,23.9
"57","Generales","España","Esp.","-","-","Vox","https://theobjective.com/espana/2022-03-17/encuesta-vox-sorpasso-pp/","-","17 Mar 2022","2022-03-17","-","5.0","PSOE","PSOE +5.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,27,NA,NA,12,22
"58","Generales","España","Esp.","-","-","Data10/OKDiario","https://okdiario.com/espana/feijoo-recupera-480-000-votantes-del-pp-esta-cerca-del-sorpasso-sanchez-gobernaria-vox-8759400","1000","16–17 Mar 2022","2022-03-17","-","2.7","PSOE","PSOE +2.7",0.8,0.5,NA,2.5,1,NA,NA,1.2,3.2,0.1,NA,2,3,NA,0.4,NA,NA,1.6,23.1,0.2,NA,NA,25.8,NA,NA,10.7,21.6
"59","Generales","España","Esp.","-","-","Metroscopia","https://www.vozpopuli.com/espana/feijoo-pp-psoe-encuesta.html","1200","14–16 Mar 2022","2022-03-16","-","7.0","PSOE","PSOE +7.0",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,29,NA,NA,11,22
"60","Generales","España","Esp.","-","-","IMOP/El Confidencial","https://www.elconfidencial.com/espana/observatorio-electoral/2022-03-16/guerra-liderazgo-sanchez-penaliza-podemos_3392123/","1303","28 Feb–12 Mar 2022","2022-03-12","-","5.3","PSOE","PSOE +5.3",1.2,0.5,NA,2,1.1,NA,NA,1.3,3.2,0.1,NA,1.9,2.3,NA,0.4,NA,NA,1.6,22.2,0.1,NA,NA,27.5,NA,NA,10,20.7
"61","Generales","España","Esp.","-","-","InvyMark/laSexta","https://www.lasexta.com/noticias/nacional/barometro-lasexta-psoe-mantiene-como-partido-mas-votado-28-voto_20220313622df249e2af800001ea4a3f.html","-","7–11 Mar 2022","2022-03-11","-","3.6","PSOE","PSOE +3.6",NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,24.5,NA,NA,NA,28.1,NA,NA,10.7,19.5
"62","Generales","España","Esp.","-","-","ElectoPanel/Electomanía","https://electomania.es/ep13m22","1493","4–11 Mar 2022","2022-03-11","-","3.0","PSOE","PSOE +3.0",0.9,0.6,NA,3,1,NA,NA,1.4,3.4,0.4,NA,2.4,2.5,NA,0.4,NA,NA,1.5,17.4,0.2,NA,NA,27,NA,NA,12.4,24
